	time	title	summary	link	source
0	1488219314	trump on replacing healthcare law that took years to craft nobody knew it could be so complicated	president reaffirms republican commitment to repealing affordable care act amid uncertainty over replacement and rising support for trump told a room full of state governors on monday that nobody knew replacing the massive affordable care act which expanded health coverage to number million americans would prove to be so complicated related donald trumps first budget enormous defense spending as most agencies cut continue reading	https://www.theguardian.com/us-news/2017/feb/27/donald-trump-replacing-obamacare-complicated	GuardianUS
1	1488219079	trump vows big spend on defense and infrastructure video	donald trump discussed his upcoming budget on monday saying the government needs to learn to tighten its belt as he is set to propose a number increase in defense spending and impose corresponding cuts to domestic programs and foreign aid were going to more with less and make the government lean and accountable to the people he said at the national governors association meeting at the white house continue reading	https://www.theguardian.com/us-news/video/2017/feb/27/trump-54bn-defense-spending-video	GuardianUS
2	1488216340	trump nobody knew healthcare could be so complicated video	donald trump said on monday that his administration had come up with a formidable solution to but contends it is a complicated subject nobody knew that healthcare could be so complicated he said at the national governors association meeting at the white house in which he discussed his upcoming budget trump is expected to offer further details on how he would like to overhaul signature healthcare law in a speech to congress on tuesday continue reading	https://www.theguardian.com/us-news/video/2017/feb/27/trump-healthcare-complicated-budget-video	GuardianUS
3	1488215094	george w bush talks trump era policy media indispensable to democracy	former president calls for a welcoming immigration describes religious tolerance as one of our greatest republican us president george w bush diverged sharply from trumps new administration on monday saying he supported a welcoming immigration policy and praising the media as indispensable to a wide ranging interview with today show meanwhile the former president was asked if he had seen signs that trump was trying to close the rift in the us electorate after his divisive campaign against he acknowledged that his own presidency from number to number also began after a contentious election but that it was hard to compare times continue reading	https://www.theguardian.com/us-news/2017/feb/27/george-w-bush-media-immigration-donald-trump	GuardianUS
4	1488214336	donald trumps first budget enormous defense spending as most agencies cut	white house officials say trump will uphold campaign promise to build up military as more than number retired generals and admirals condemn trump will seek a number hike in military spending while cutting foreign aid environmental programmes and domestic agencies by the same amount the white house said on monday related trump white house scrambles to check scandal over fbi inquiry into russia ties continue reading	https://www.theguardian.com/us-news/2017/feb/27/trumps-budget-54-billion-increase-defense-spending	GuardianUS
5	1488201305	kansas shooting indian victim says attack does not reflect states true spirit	says he wishes killing of his best friend was a worker deplores senseless crime at vigil for indian man who was shot and wounded at a bar in suburban kansas city last week says he wished the killing of his best friend during the attack had all been a dream but that the incident apparently fueled by racism doesnt reflect the true spirit of kansas related kansas shooting injured man says suspect asked victims about visas continue reading	https://www.theguardian.com/us-news/2017/feb/27/kansas-shooting-indian-vigil-alok-madasani	GuardianUS
6	1488197933	donald trumps first number days as president daily updates	follow daily updates on the number president of the united states as we track trump one day at a time continue reading	https://www.theguardian.com/us-news/ng-interactive/2017/jan/20/donald-trump-first-100-days-president-daily-updates	GuardianUS
7	1488196802	texas county pulls out of program for local police to act as immigration agents	activists celebrate a victory in resisting trumps crackdown on undocumented immigrants but republicans are weighing other methods to force recalls how his uncle paid a double price when he was arrested for failing to pay road tolls local police in houston handed him to immigration officials who deported him to the years since also an undocumented immigrant from mexico has campaigned to end a program that local officials to act as federal immigration agents potentially turning a minor infraction into a life altering event continue reading	https://www.theguardian.com/us-news/2017/feb/27/texas-harris-county-police-immigration-agents-program	GuardianUS
8	1488193200	is homeless surge tied to marijuana legalization	an number rise in homelessness has fueled speculation over whether legalization boosted the numbers of displaced in americas unofficial legal cannabis in america learn more and sign up for our email mae noel has been on the streets since her denver house which had been in her family for more than a century went into foreclosure in number she also happens to smoke poti use marijuana to treat my ms it has nothing to do with me not having a home she said recently standing outside the denver rescue mission continue reading	https://www.theguardian.com/us-news/2017/feb/27/marijuana-legal-homeless-denver-colorado	GuardianUS
9	1488156964	trump navy secretary nominee withdraws citing disruption to financial interests	philip announces his decision only days after white house said he was number committed to the trumps choice to be secretary of the navy has withdrawn from consideration for the post citing concerns about privacy and separating himself from his business interests related trump white house scrambles to check scandal over fbi inquiry into russia ties continue reading	https://www.theguardian.com/us-news/2017/feb/27/trump-nomination-navy-secretary-withdraws-philip-bilden	GuardianUS
10	1488120123	tom elected new chair of democratic national committee video	former labor secretary tom was elected as the new chair of the democratic national committee on saturday narrowly beating rival after a fiercely fought campaign first motion as chair however was to appoint the first muslim member of congress as deputy chair of the is new democratic party chair beating in tight vote continue reading	https://www.theguardian.com/us-news/video/2017/feb/26/tom-perez-elected-new-chair-of-democratic-national-committee-video	GuardianUS
11	1488110429	conservatives drink the trump aid but who will pick up the tab	a once fringe presidential candidate has turned his doubters into cheerleaders but the spiritual and financial cost of has yet to be writing is on the wall god bless trump america first peace through strength capitalism is beautiful drain the swamp one nation under god make america gay again adorable deplorable and trump is star are among the messages scrawled in the exhibition hall at this years conservative political action conference near close and there is a thread of defiance too abandoned principles to support a big government strongman continue reading	https://www.theguardian.com/us-news/2017/feb/26/donald-trump-cpac-conservative-movement-analysis	GuardianUS
12	1488108252	trump will not attend white house correspondents dinner	president caps week of conflict with press cites first radical attack on the first amendment can not go trump on saturday capped a week of tumultuous relations with the press by saying he will not attend this years white house correspondents dinner which is scheduled for number april related trumps media war threatens journalists globally protection group warns continue reading	https://www.theguardian.com/us-news/2017/feb/25/donald-trump-white-house-correspondents-dinner-not-going	GuardianUS
13	1488079774	well restore power to the people trumps epa pick tells video	speaking at the conservative conference scott promises to restore federalism by giving states more of a say in air and water protection and ensure that regulations are reined in sued the epa over its pollution regulations number times while he was attorney general of oklahoma often in concert with oil and gas interests continue reading	https://www.theguardian.com/global/video/2017/feb/26/well-restore-power-to-the-people-trumps-epa-pick-tells-cpac-video	GuardianUS
14	1488069966	tom is new democratic party chair beating in tight vote	former labor secretary and progressive congressman call for unity against trump after party race that became symbol of centrist progressive former labor secretary tom was elected chairman of the democratic national committee on saturday after a fiercely fought campaign he will now lead a party still divided after the surprising election of donald trump but energized by the liberal backlash to his presidency related how the humble town hall became a battle arena for the trump resistance continue reading	https://www.theguardian.com/us-news/2017/feb/25/tom-perez-democratic-chair-keith-ellison-atlanta-ballot	GuardianUS
15	1488136342	the united states postal service isnt in decline far from it letter from rolando	a recent article number february made the interesting proposal that the united states postal service help distribute food to americas hungry but in the initial version the author described the postal service as in decline in fact the evidence suggests the delivers to number homes from coast to coast six and now increasingly seven days a week as deals such as the one with amazon are signed daily an average of number new household business or organisation addresses are added to the postal delivery network continue reading	https://www.theguardian.com/business/2017/feb/26/the-united-states-postal-service-isnt-in-decline-far-from-it	GuardianUS
16	1488042216	warren oracle of omaha criticises wall street and praises immigrants	billionaire releases annual letter to berkshire of talented and ambitious immigrants sits at odds with billionaire warren whose stock picks have turned berkshire into one of the most successful conglomerates in the world criticised wall street on saturday saying investors should stick with low cost index funds related eight men own more than number billion people do our economics is broken mark continue reading	https://www.theguardian.com/business/2017/feb/25/warren-buffett-berkshire-hathaway-wall-street-apple-annual-letter	GuardianUS
17	1487947363	world gets thirst for british gin as exports hit record of nearly pound number	foreign sales of spirit outperform those of british beef with the us the biggest overseas of british gin surged to record levels last year reaching nearly pound number from show exports of the juniper based spirit rose by number to pound number outperforming exports of british beef and soft drinks continue reading	https://www.theguardian.com/business/2017/feb/24/british-gin-exports-us	GuardianUS
18	1487924241	education publisher reports biggest loss in its history	pre tax losses soar to pound number as group planning to sell its penguin random house stake is hit by slump in us textbook has reported a pre tax loss of pound number for number the biggest in its history after a slump at its us education worlds largest education publisher which in january saw almost pound number wiped from its stock market value after issuing its fifth profit warning in two years reported the record loss after taking a pound number non cash charge for impairment of goodwill reflecting trading pressures in its north american businesses continue reading	https://www.theguardian.com/business/2017/feb/24/education-publisher-pearson-loss-us-penguin-random-house	GuardianUS
19	1487697122	city watchdog investigating over potential financial crime bank reveals	evidence uncovered last year triggered action as bank announces a number decrease in city regulator is investigating over potential breaches of money laundering rules after concerns raised last year by the anti crime monitor installed in biggest bank did not disclose the specific concerns raised by the american lawyer michael who was appointed as the monitor five years ago he is reported to have raised concerns about clients with links to terrorism including isis continue reading	https://www.theguardian.com/business/2017/feb/21/hsbc-cuts-pay-of-senior-executives-after-failing-to-combat-financial	GuardianUS
20	1488218964	trump seeks historic increase of number percent in us budget	washington president donald trump is seeking what he called a historic increase in military spending of more than number percent a huge rise even as the united states has wound down major wars in iraq and afghanistan and remains the worlds strongest military power	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/d7P_aRFQev8/us-usa-trump-budget-idUSKBN1661R2	ReutersUS
21	1488219481	pentagon delivers draft plan to defeat islamic state to white house	washington a pentagon led preliminary plan to defeat islamic state has been delivered to the white house and us defense secretary jim will brief senior administration officials later on monday a defense department spokesman told reporters	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/_GULEkcxcOo/us-usa-trump-pentagon-idUSKBN16620M	ReutersUS
22	1488215967	after anti trump protests the presidents fans organize their own rallies	new york supporters of us president donald trump are holding rallies in towns and cities across the country on monday partly as a rebuttal to waves of anti trump protests that have taken place since the republicans election last november	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/M0Sb8vh1tjI/us-usa-trump-supporters-idUSKBN1661CM	ReutersUS
23	1488219590	us jewish centers report another wave of hoax bomb threats	new york at least number jewish community centers and schools around the united states reported receiving bomb threats on monday reported the fifth wave of such threats this year that have stoked fears of a resurgence of anti semitism	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/ERfJZcVs6So/us-usa-security-jewish-idUSKBN16625E	ReutersUS
24	1488218044	kansas man charged with murder of indian engineer due in court	a white us navy veteran charged with murdering an indian software engineer at a kansas bar was due in court on monday over the shooting which federal authorities are probing as a possible hate crime	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/hbjoUdgUXPg/us-kansas-india-idUSKBN16623I	ReutersUS
25	1488220734	judge lets have jurors from other pennsylvania county	pa a judge granted a request by bill defense lawyers on monday to have jurors picked from a different pennsylvania county in his upcoming sexual assault trial	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/0CmVuUd6tXU/us-people-cosby-idUSKBN16618H	ReutersUS
26	1488219246	minnesota officer pleads not guilty in shooting death of black motorist	a minnesota police officer pleaded not guilty to second degree manslaughter on monday for the fatal shooting of a black motorist that sparked outrage when the moments that followed were broadcast on social media according to a court official	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/Eu96cVSsAvw/us-minnesota-police-idUSKBN16624Q	ReutersUS
27	1488214755	retired us military officers urge congress to fully fund diplomacy aid	washington more than number retired us generals and admirals urged congress on monday to fully fund us diplomacy and foreign aid the same government functions expected to be targeted for cuts in president donald trumps first budget proposal	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/k8kA2XvPnc8/us-usa-trump-budget-foreignpolicy-idUSKBN1661YK	ReutersUS
28	1488213803	trump meets insurers promises catastrophic year for	washington president donald trump told several chief executives of large insurance companies on monday that number will be a catastrophic year for the affordable care act as he seeks to make good on a campaign promise to repeal the measure	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/9-Qw_A7nVxQ/us-usa-obamacare-trump-idUSKBN1661XK	ReutersUS
29	1488220443	kuwait could pay up to number for party at trump hotel in washington	washington this february number story was corrected to show that the event took place on wednesday not saturday corrects reference to event in second paragraph to past tense from present tense corrects paragraph number to clarify that ambassador spoke before the event on wednesday	http://feeds.reuters.com/~r/Reuters/domesticNews/~3/Cthb3Jn9zOk/us-usa-trump-hotel-idUSKBN1640LE	ReutersUS
30	1488165185	its been five years since martin died	five years ago the world learned of martin and how he died	http://rss.cnn.com/~r/rss/cnn_us/~3/ihHhd18iwSU/index.html	CNNUS
31	1468406327	the evolution of	it started with a as countless black men were gunned down predominantly by white cops a few protests turned into a movement now the movement has its sights set on influencing policy and politics	http://rss.cnn.com/~r/rss/cnn_us/~3/qrTTFkjUM3U/index.html	CNNUS
32	1488185644	mardi gras crash suspects blood alcohol level nearly number legal limit	breaking update published at number number pm et	http://rss.cnn.com/~r/rss/cnn_us/~3/IQWSFlqW_v4/index.html	CNNUS
33	1488197269	after he allegedly shot number kansas suspect opened up	a few hours after he allegedly shot three people in kansas killing one adam walked into an in neighboring missouri and opened up to the bartender according to number calls	http://rss.cnn.com/~r/rss/cnn_us/~3/pe7eiQF2B2w/index.html	CNNUS
34	1488211209	another jewish cemetery vandalized	between number and number tombstones were overturned and damaged saturday night at a jewish cemetery in philadelphia police said sunday	http://rss.cnn.com/~r/rss/cnn_us/~3/Nivn6layLAo/index.html	CNNUS
35	1488207446	oscars number looks from the red carpet	see photos from the red carpet at the number academy awards	http://rss.cnn.com/~r/rss/cnn_us/~3/MW4NDG4BzqM/index.html	CNNUS
36	1488158543	judge joseph of the peoples court dies	judge joseph of the popular reality television program the peoples court died at age number on sunday at his home in angeles california according to his son angeles county judge fred he died of natural causes	http://rss.cnn.com/~r/rss/cnn_us/~3/ZEbGVC6pFWc/index.html	CNNUS
37	1488217365	actor bill dies	actor bill whose extensive career included films such as twister aliens and titanic has died a representative for his family said in a statement he was number	http://rss.cnn.com/~r/rss/cnn_us/~3/gjnhUDzrUDI/index.html	CNNUS
38	1488200586	yes we can elect president of france	could france elect president not really but thats not stopping the organizers of number a guerrilla campaign trying to entice the former us president to head to paris	http://rss.cnn.com/~r/rss/cnn_us/~3/l0xJ2FGJWrQ/index.html	CNNUS
39	1488043534	crowds gather as goes on new york coffee run	hundreds of cheering onlookers got a glimpse of former president friday in new york city as he left a fifth avenue building after grabbing coffee	http://rss.cnn.com/~r/rss/cnn_us/~3/9ocH34r1vpU/index.html	CNNUS
40	1488053655	opinion how trumps privilege makes him blind to bigotry	why is the president widening divisions not healing them his failure to recognize his prejudices comes from him being isolated by wealth and power his whole life writes michael	http://rss.cnn.com/~r/rss/cnn_us/~3/HMGhfpz_kw8/index.html	CNNUS
41	1488006050	prosecutors question mayor in federal probe	federal prosecutors interviewed new york mayor bill de on friday in relation to an ongoing investigation his press secretary said in a statement	http://rss.cnn.com/~r/rss/cnn_us/~3/IzJGzRAb4-4/index.html	CNNUS
42	1487959503	are recreational marijuana and addiction linked	as white house press secretary spicer spoke thursday about greater enforcement of federal marijuana laws he seemed to link recreational pot use to a different type of drug	http://rss.cnn.com/~r/rss/cnn_us/~3/rpFdpWqUJ30/index.html	CNNUS
43	1488160005	network readies homes to hide undocumented immigrants	a hammer pounds away in the living room of a middle class home a sanding machine smoothes the grain of the wood floor in the dining room	http://rss.cnn.com/~r/rss/cnn_us/~3/f5zK8m9y5ps/index.html	CNNUS
44	1487954386	army veteran starts fight club to help others with	was serving in the us army when the september number attacks occurred	http://rss.cnn.com/~r/rss/cnn_us/~3/KkBlamohqbg/index.html	CNNUS
45	1488156038	navy secretary nominee withdraws	president donald trumps nominee for navy secretary philip has withdrawn his name from consideration	http://rss.cnn.com/~r/rss/cnn_us/~3/AU3zOwbrOgM/index.html	CNNUS
46	1488191845	spicer checks aides phones for leaks	white house press secretary spicer recently checked his aides cell phones to ensure they werent communicating with reporters as part of an aggressive effort to stem the recent tide of white house leaks	http://rss.cnn.com/~r/rss/cnn_us/~3/9HG3j0fjNVw/index.html	CNNUS
47	1488136394	progressives riled up after vote	progressive activists lashed out at the democratic party on saturday after their choice to lead its national committee minnesota rep was defeated by former administration labor secretary tom in a tight and unexpectedly contentious contest	http://rss.cnn.com/~r/rss/cnn_us/~3/_axhU8M1hMs/index.html	CNNUS
48	1488159403	ellen and give students the ultimate prize		http://rss.cnn.com/~r/rss/cnn_us/~3/Z3KtQGLT6Zc/index.html	CNNUS
49	1488218700	rare tornado hits massachusetts	the national weather service has confirmed that a tornado with winds up to number mph touched down in western say the ef number tornado touched down saturday evening in in franklin county	http://feeds.foxnews.com/~r/foxnews/national/~3/SpxEXU1uMJY/rare-tornado-hits-massachusetts.html	FOXUS
50	1488218580	houston girl number shot dead moments after car crash	houston police are investigating a shooting that killed an number year old girl moments after a car crash saturday	http://feeds.foxnews.com/~r/foxnews/national/~3/Llqb-_RwcjI/houston-girl-8-shot-dead-moments-after-car-crash.html	FOXUS
51	1488218400	navy veteran says hes forced to live in a storage unit	a disabled navy veteran who fought for his country in the gulf war now finds himself living in a denver storage unit he calls home sweet hell	http://feeds.foxnews.com/~r/foxnews/national/~3/vlqse5e6-BM/navy-veteran-says-hes-forced-to-live-in-storage-unit.html	FOXUS
52	1488217680	number rescued after plane crashes into colorado reservoir	two people were extricated after a plane crashed into a reservoir in county on monday morning the fire department said	http://feeds.foxnews.com/~r/foxnews/national/~3/rs6W_l0cA8c/2-rescued-after-plane-crashes-into-colorado-reservoir.html	FOXUS
53	1488217500	trump tower climber avoids jail time	a man who climbed trump tower last summer in an apparent bid to meet then republican presidential candidate donald trump pleaded guilty monday but will avoid jail time	http://feeds.foxnews.com/~r/foxnews/national/~3/CUfJAeRzxco/trump-tower-climber-avoids-jail-time.html	FOXUS
54	1488216600	college administrator allegedly said there were too many jews on his staff	a high ranking administrator secretly complained about too many jews on the faculty at community college according to blockbuster audio obtained by the post	http://feeds.foxnews.com/~r/foxnews/national/~3/V3SH6R1FXIk/college-administrator-allegedly-said-there-were-too-many-jews-on-his-staff.html	FOXUS
55	1488214800	indiana man sentenced to number years for murder of toddler	the man who killed number month old was sentenced to number years in prison with no term suspended on monday	http://feeds.foxnews.com/~r/foxnews/national/~3/9Aw0mAuhF-8/indiana-man-sentenced-to-60-years-for-murder-toddler-shaylyn-ammerman.html	FOXUS
56	1488214800	manhunt launched for mississippi man eyed in number shootings number deaths	a nationwide manhunt was under way monday for a man linked to three shootings in mississippi two of which turned deadly	http://feeds.foxnews.com/~r/foxnews/national/~3/PF676sL0YMY/manhunt-launched-for-mississippi-man-eyed-in-3-shootings-2-deaths.html	FOXUS
57	1488213960	uncle of boy killed over missing birthday cake gets number years in prison	the uncle of a number year old boy who was fatally beaten over a missing piece of birthday cake has been sentenced to number years imprisonment for handcuffing him to a chair and watching the mothers boyfriend pummel the boy senseless	http://feeds.foxnews.com/~r/foxnews/national/~3/HAdtspT_9iw/uncle-boy-killed-over-missing-birthday-cake-gets-10-years-in-prison.html	FOXUS
58	1488213000	who is baby sarah police use to help solve number year old cold case	police have exhumed a remains to create a profile that might solve a mystery haunting a wisconsin for decades who are the parents of sarah and what led to her death inside a sewer hours after her birth	http://feeds.foxnews.com/~r/foxnews/national/~3/JJIQN7dEXLw/who-is-baby-sarah-police-use-dna-to-help-solve-42-year-old-cold-case.html	FOXUS
59	1488210900	minnesota cop pleads not guilty in shooting death of castile	st anthony police officer pleaded not guilty monday morning to manslaughter in the july shooting death of castile the trial date is set for may number	http://feeds.foxnews.com/~r/foxnews/national/~3/YrQS0zs4CTo/minnesota-cop-pleads-not-guilty-in-shooting-death-philando-castile.html	FOXUS
60	1488209520	money being raised to restore vandalized jewish cemetery in philadelphia	money is being raised to repair and restore more than number headstones that were vandalized at a jewish cemetery in philadelphia while police hunt for the person who toppled them	http://feeds.foxnews.com/~r/foxnews/national/~3/CoftM6YU_ek/money-being-raised-to-restore-vandalized-jewish-cemetery-in-philadelphia.html	FOXUS
61	1488200700	officials identify sailor fatally shot at naval air station	navy officials in virginia are identifying a sailor fatally shot by a naval air station security officer	http://feeds.foxnews.com/~r/foxnews/national/~3/JJUOkqEEvFk/officials-identify-sailor-fatally-shot-at-naval-air-station.html	FOXUS
62	1488193440	florida deputies fatally shoot man during domestic call	florida sheriffs deputies fatally shot a man during a domestic violence call	http://feeds.foxnews.com/~r/foxnews/national/~3/hac1b4TnnDg/florida-deputies-fatally-shoot-man-during-domestic-call.html	FOXUS
63	1488192960	man wounded in kansas bar shooting speaks at vigil i wish it was a dream	one of three men shot at a bar in suburban kansas city spoke at a weekend vigil saying i wish it was a dream	http://feeds.foxnews.com/~r/foxnews/national/~3/0tMWEn6flDY/man-wounded-in-kansas-bar-shooting-speaks-at-vigil-wish-it-was-dream.html	FOXUS
64	1488192420	mardi gras crash suspects alcohol level nearly triple legal limit	the driver accused of plowing into a crowd enjoying a mardi gras parade in new orleans had a blood alcohol level nearly three times the legal limit police said	http://feeds.foxnews.com/~r/foxnews/national/~3/8Fg6zw-Pclo/mardi-gras-crash-suspects-alcohol-level-nearly-triple-legal-limit.html	FOXUS
65	1488189600	morning brief best picture blunder trump bashing overshadow oscars	the number academy awards is the talk of the town but it is not for the reason you would expect it to be	http://feeds.foxnews.com/~r/foxnews/national/~3/OeAsh7acxuk/morning-brief-best-picture-blunder-trump-bashing-overshadow-oscars.html	FOXUS
66	1488182640	body of missing angeles teen recovered police say	the body of a number year old boy who vanished in southern california during a powerful storm earlier this month was found saturday on an island in the angeles river police said	http://feeds.foxnews.com/~r/foxnews/national/~3/ecoJ3Zid1T0/body-missing-los-angeles-teen-recovered-police-say.html	FOXUS
67	1488180960	outcry after chicago area public school plans seminar around civil rights race	a public school in one of wealthiest suburbs stepped into unforeseen controversy last week after deciding that its annual seminar would focus on race and civil rights	http://feeds.foxnews.com/~r/foxnews/national/~3/g-GBFvvdf_w/outcry-after-chicago-area-public-school-plans-seminar-around-civil-rights-race.html	FOXUS
68	1488146640	dozens of headstones toppled at philadelphia jewish cemetery	up to number headstones have been damaged at a jewish cemetery in philadelphia authorities said sunday	http://feeds.foxnews.com/~r/foxnews/national/~3/gT8iS0zpl_Q/dozens-headstones-toppled-at-philadelphia-jewish-cemetery.html	FOXUS
69	1488214254	oscars in segment pays tribute to living producer	the number academy awards may well be remembered for its epic best picture gaffe ending but that wasnt the only mistake made on the broadcast	http://feedproxy.google.com/~r/breitbart/~3/BKnlUZnWrnk/	Breitbart
70	1488216888	oscars ratings hit number year low in early numbers	ratings for the number annual academy awards slid for a second consecutive year as a slew of wins for much beloved la la land a shock best picture win for moonlight and a game host in jimmy couldnt move the needle this year	http://feedproxy.google.com/~r/breitbart/~3/3v6JnkJc0w0/	Breitbart
71	1488202544	oscars conspiracy theory trumps revenge against	a new conspiracy theory about sunday nights disastrous ending at the oscars is making the rounds in hollywood according to a report in the east bay times president donald trump sabotaged the best picture award as revenge against host jimmy for mocking him	http://feedproxy.google.com/~r/breitbart/~3/MkZTAMfkiC8/	Breitbart
72	1488215238	is trump admin trying to create a dictatorship	during a discussion of the trump administration banning certain outlets from a press gaggle on mondays broadcast of morning joe co host wondered if the white house was trying to create a dictatorship after playing a clip from white house press secretary spicer in number saying we have a respect for the press when it comes to the government that that is something that you cant ban an entity from you know conservative liberal or otherwise i think thats what makes a democracy a democracy versus a dictatorship stated h es just described himself she added a re they trying to create a dictatorship i mean im not joking and im not angry h t daily caller follow on twitter	http://feedproxy.google.com/~r/breitbart/~3/syuAi8rtwbU/	Breitbart
73	1488213779	america is our country not we are not going to leave	senior anchor declared on friday that the united states belongs to latino migrants emphatically stating to a spanish speaking audience that it is our country not theirs	http://feedproxy.google.com/~r/breitbart/~3/ZhM4ijTUtpY/	Breitbart
74	1488210242	activist preference for kids single sex shower rooms is prejudiced	parents who oppose their children and teenagers being forced to share bathrooms and shower rooms with opposite sex kids must begin putting aside their prejudices says a leading activist who also asserts there are hundreds of thousands of trans kids in the united states	http://feedproxy.google.com/~r/breitbart/~3/OmYIIpMvPJw/	Breitbart
